,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.097399995,158522860,31734691730,0.0162
1,2025-09-30,Blackrock Inc.,0.0838,136390486,27304011725,-0.0094
2,2025-09-30,State Street Corporation,0.045300003,73824441,14778915024,0.024400001
3,2025-09-30,"Geode Capital Management, LLC",0.0229,37297320,7466550581,0.0165
4,2025-09-30,Morgan Stanley,0.0185,30061749,6018061605,0.015
5,2025-09-30,JPMORGAN CHASE & CO,0.0167,27130344,5431223631,1.1280999
6,2025-06-30,NORGES BANK,0.0134000005,21808756,4365894916,-0.081199996
7,2025-09-30,Price (T.Rowe) Associates Inc,0.0125,20269319,4057715020,-0.2284
8,2025-09-30,"UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC",0.0116,18851680,3773917865,-0.1911
9,2025-09-30,Northern Trust Corporation,0.010199999,16629875,3329134716,0.0021
